epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,306.452,0.81564,0.49064,0.92586,0.81478,0.75789,0.82909,0.47401,1.37009,0.82872,1.11922,0.0002972,0.0002972,0.0002972
88,308.819,0.84744,0.4986,0.95189,0.81947,0.77895,0.83254,0.48037,1.38792,0.83915,1.11651,0.0002774,0.0002774,0.0002774
89,311.174,0.80628,0.495,0.93384,0.79802,0.77895,0.82737,0.46567,1.37016,0.79725,1.12558,0.0002576,0.0002576,0.0002576
90,313.603,0.81302,0.49292,0.9244,0.75238,0.81053,0.81793,0.47019,1.36224,0.79929,1.13361,0.0002378,0.0002378,0.0002378
91,337.545,1.07963,0.61453,1.02099,0.78097,0.82105,0.8289,0.4655,1.40154,0.78821,1.15147,0.000218,0.000218,0.000218
92,340.443,1.05896,0.56474,1.04052,0.7722,0.78505,0.8054,0.45614,1.3827,0.80938,1.1537,0.0001982,0.0001982,0.0001982
93,343.131,1.05982,0.55783,1.03822,0.74194,0.81053,0.82157,0.46957,1.38573,0.80824,1.14782,0.0001784,0.0001784,0.0001784
94,345.499,1.03204,0.54366,1.03099,0.83055,0.73684,0.82526,0.47857,1.38796,0.78607,1.14468,0.0001586,0.0001586,0.0001586
95,347.838,1.04639,0.54983,1.03842,0.76821,0.78947,0.82453,0.46919,1.40122,0.81079,1.1504,0.0001388,0.0001388,0.0001388
96,350.179,1.03172,0.5312,1.03081,0.76853,0.80387,0.82163,0.45702,1.39327,0.79932,1.13527,0.000119,0.000119,0.000119
97,352.519,1.03762,0.54665,1.00628,0.79361,0.78947,0.82386,0.46666,1.38501,0.7872,1.12995,9.92e-05,9.92e-05,9.92e-05
98,354.949,1.01218,0.52646,1.0014,0.76917,0.84182,0.83815,0.47295,1.37458,0.77372,1.12646,7.94e-05,7.94e-05,7.94e-05
99,357.275,1.01689,0.52844,1.0138,0.76596,0.84211,0.83968,0.47251,1.37083,0.7681,1.12131,5.96e-05,5.96e-05,5.96e-05
100,359.64,0.98551,0.51609,1.00677,0.76267,0.84568,0.84078,0.47208,1.36906,0.77656,1.11705,3.98e-05,3.98e-05,3.98e-05
